# KD4 Worktree Review Ledger

Review scope: the complete dirty worktree frozen before repair and validation.
Frozen inventory: 185 original paths (158 modified, 26 deleted, 1 untracked); no staged paths, renames, copies, type changes, or submodules.
Baseline: branch `main`, HEAD `52be9e924db6daf0f220db2c705b38418e6e6a6a`.
Method: every current file was read byte-for-byte; every deleted path was read completely from its HEAD blob; every patch, caller/reference route, owner/manifest edge, generated artifact relationship, persistence surface, and publish impact was audited.
Row contract: `ID | status | exact original path | attribution | complete-review/caller result | confirmed bug | possible bug | unfinished wiring | regression risk | lifecycle/concurrency | contradiction | publish risk | disposition`.
Exactly one primary row follows for every path in the frozen inventory.

## Counts and verdict

- Files reviewed: 185 / 185.
- Confirmed bugs: 1.
- Possible bugs remaining after semantic review: 0.
- Unfinished wiring findings: 0.
- Regression findings: 1 (the same confirmed persistence defect).
- Lifecycle/concurrency findings: 0.
- Contradictions between intent and implementation: 0.
- Fixed issues: 19 (F01 plus 18 Clippy/compiler findings).
- Unresolved issues: 0.
- Analyzer findings: 18 Clippy/compiler findings, all repaired; cargo-shear 0; dead-code 0.
022 | M | codex-rs/app-server-protocol/schema/json/v2/ThreadListResponse.json | generated/derived | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep
023 | M | codex-rs/app-server-protocol/schema/json/v2/ThreadMetadataUpdateResponse.json | generated/derived | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep
024 | M | codex-rs/app-server-protocol/schema/json/v2/ThreadReadResponse.json | generated/derived | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep
025 | M | codex-rs/app-server-protocol/schema/json/v2/ThreadResumeResponse.json | generated/derived | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep
026 | M | codex-rs/app-server-protocol/schema/json/v2/ThreadRollbackResponse.json | generated/derived | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep
027 | M | codex-rs/app-server-protocol/schema/json/v2/ThreadStartResponse.json | generated/derived | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep
028 | M | codex-rs/app-server-protocol/schema/json/v2/ThreadStartedNotification.json | generated/derived | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep
029 | M | codex-rs/app-server-protocol/schema/json/v2/ThreadUnarchiveResponse.json | generated/derived | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep
030 | M | codex-rs/app-server-protocol/schema/json/v2/TurnCompletedNotification.json | generated/derived | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep
031 | M | codex-rs/app-server-protocol/schema/json/v2/TurnStartResponse.json | generated/derived | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep
032 | M | codex-rs/app-server-protocol/schema/json/v2/TurnStartedNotification.json | generated/derived | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep
033 | M | codex-rs/app-server-protocol/schema/typescript/v2/CodexErrorInfo.ts | generated/derived | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep
034 | M | codex-rs/app-server-protocol/schema/typescript/v2/DeterministicContinuationClass.ts | generated/derived | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep
035 | M | codex-rs/app-server-protocol/schema/typescript/v2/DeterministicContinuationHostAction.ts | generated/derived | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep
036 | M | codex-rs/app-server-protocol/schema/typescript/v2/TurnTiming.ts | generated/derived | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep
037 | M | codex-rs/app-server-protocol/schema/typescript/v2/TurnTimingCounters.ts | generated/derived | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep
038 | M | codex-rs/app-server-protocol/schema/typescript/v2/TurnTimingGenerationPurpose.ts | generated/derived | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep
039 | M | codex-rs/app-server-protocol/schema/typescript/v2/TurnTimingGenerationPurposeCounts.ts | generated/derived | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep
040 | M | codex-rs/app-server-protocol/schema/typescript/v2/TurnTimingModelRequest.ts | generated/derived | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep
041 | D | codex-rs/app-server-protocol/schema/typescript/v2/TurnTimingPostDiscoveryRequest.ts | generated/derived | full HEAD blob; deletion patch, live refs, owners/manifests checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep deletion
042 | D | codex-rs/app-server-protocol/schema/typescript/v2/TurnTimingPreEditConvergence.ts | generated/derived | full HEAD blob; deletion patch, live refs, owners/manifests checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep deletion
043 | M | codex-rs/app-server-protocol/schema/typescript/v2/TurnTimingProgressKind.ts | generated/derived | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep
044 | D | codex-rs/app-server-protocol/schema/typescript/v2/TurnTimingReadinessReopenReasonCounts.ts | generated/derived | full HEAD blob; deletion patch, live refs, owners/manifests checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep deletion
045 | D | codex-rs/app-server-protocol/schema/typescript/v2/TurnTimingSourceDiscoveryCounters.ts | generated/derived | full HEAD blob; deletion patch, live refs, owners/manifests checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep deletion
046 | D | codex-rs/app-server-protocol/schema/typescript/v2/TurnTimingSourceSectionCategoryCounts.ts | generated/derived | full HEAD blob; deletion patch, live refs, owners/manifests checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep deletion
047 | M | codex-rs/app-server-protocol/schema/typescript/v2/index.ts | generated/derived | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep
048 | M | codex-rs/app-server-protocol/src/protocol/v2/shared.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
049 | M | codex-rs/app-server/README.md | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
050 | M | codex-rs/code-mode-protocol/src/description.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
051 | M | codex-rs/code-mode-protocol/src/runtime.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
052 | M | codex-rs/config/src/schema.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
053 | M | codex-rs/config/src/strict_config_tests.rs | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
054 | M | codex-rs/core/Cargo.toml | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
055 | M | codex-rs/core/config.schema.json | generated/derived | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | generator provenance/check required | keep
056 | M | codex-rs/core/src/agent/control.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
057 | M | codex-rs/core/src/agent/role.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
058 | M | codex-rs/core/src/agent/task_capabilities.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
059 | M | codex-rs/core/src/agent/task_capabilities_tests.rs | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
060 | M | codex-rs/core/src/agent/task_coordinator.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
061 | M | codex-rs/core/src/agents_md.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | A01: test-only semantic digest warned as dead; scoped with cfg(test) | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
062 | M | codex-rs/core/src/compact.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
063 | M | codex-rs/core/src/compact_remote_request.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
064 | M | codex-rs/core/src/compact_remote_v2.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
065 | M | codex-rs/core/src/config/config_tests.rs | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
066 | M | codex-rs/core/src/config/mod.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
067 | M | codex-rs/core/src/context/mod.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
068 | M | codex-rs/core/src/context/prompt_provenance.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
069 | D | codex-rs/core/src/context/rollout_budget.rs | task implementation | full HEAD blob; deletion patch, live refs, owners/manifests checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep deletion
070 | M | codex-rs/core/src/context/world_state/mod.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
071 | D | codex-rs/core/src/context/world_state/source_closure.rs | task implementation | full HEAD blob; deletion patch, live refs, owners/manifests checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep deletion
072 | M | codex-rs/core/src/event_mapping.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
073 | M | codex-rs/core/src/git_workspace.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
074 | M | codex-rs/core/src/git_workspace_tests.rs | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
075 | M | codex-rs/core/src/hook_runtime.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
076 | M | codex-rs/core/src/lib.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
077 | D | codex-rs/core/src/rollout_budget.rs | task implementation | full HEAD blob; deletion patch, live refs, owners/manifests checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep deletion
078 | M | codex-rs/core/src/session/config_lock.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
079 | M | codex-rs/core/src/session/handlers.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
080 | M | codex-rs/core/src/session/mod.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
081 | M | codex-rs/core/src/session/reasoning_governor.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | A02-A05: needless update, unused test helper, and two missing test attributes repaired | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
082 | M | codex-rs/core/src/session/review.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
083 | D | codex-rs/core/src/session/rollout_budget.rs | task implementation | full HEAD blob; deletion patch, live refs, owners/manifests checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep deletion
084 | M | codex-rs/core/src/session/tests.rs | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
085 | M | codex-rs/core/src/session/turn.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | A06: redundant method-call closure replaced directly | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
086 | M | codex-rs/core/src/session/turn_context.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
087 | M | codex-rs/core/src/session/world_state.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
088 | M | codex-rs/core/src/session_startup_prewarm.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
089 | M | codex-rs/core/src/stable_context.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
090 | M | codex-rs/core/src/stable_context_tests.rs | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
091 | M | codex-rs/core/src/state/turn.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
092 | M | codex-rs/core/src/stream_events_utils_tests.rs | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
093 | M | codex-rs/core/src/task_evidence.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | A07: test-only plan wrapper scoped with cfg(test) | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
094 | M | codex-rs/core/src/task_evidence_tests.rs | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
095 | M | codex-rs/core/src/tasks/mod.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
096 | M | codex-rs/core/src/tasks/mod_tests.rs | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
097 | M | codex-rs/core/src/thread_manager.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
098 | M | codex-rs/core/src/tools/code_mode/execute_spec.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
099 | M | codex-rs/core/src/tools/code_mode/mod.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
100 | M | codex-rs/core/src/tools/code_mode/wait_spec.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
101 | M | codex-rs/core/src/tools/command_execution.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
102 | M | codex-rs/core/src/tools/command_output_artifact.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | A08-A10: three test-only artifact helpers scoped with cfg(test) | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
103 | M | codex-rs/core/src/tools/command_output_artifact_tests.rs | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
104 | M | codex-rs/core/src/tools/context.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
105 | M | codex-rs/core/src/tools/context_tests.rs | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
106 | M | codex-rs/core/src/tools/events.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
107 | M | codex-rs/core/src/tools/handlers/mod.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
108 | M | codex-rs/core/src/tools/handlers/multi_agents_common.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
109 | M | codex-rs/core/src/tools/handlers/multi_agents_spec.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
110 | M | codex-rs/core/src/tools/handlers/multi_agents_tests.rs | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
111 | M | codex-rs/core/src/tools/handlers/multi_agents_v2/spawn.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
112 | M | codex-rs/core/src/tools/handlers/multi_agents_v2/task.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
113 | M | codex-rs/core/src/tools/handlers/plan.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
114 | M | codex-rs/core/src/tools/handlers/read_tool_output.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | A11: redundant constant assertion removed | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
115 | M | codex-rs/core/src/tools/handlers/read_tool_output_spec.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
116 | M | codex-rs/core/src/tools/handlers/shell.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
117 | M | codex-rs/core/src/tools/handlers/shell_spec.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
118 | M | codex-rs/core/src/tools/handlers/shell_spec_tests.rs | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
119 | M | codex-rs/core/src/tools/handlers/shell_tests.rs | related support/contract | full current bytes; patch, behavior, callers and wiring checked | A12: stale test for retired shell timeout type removed | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
120 | D | codex-rs/core/src/tools/handlers/source.rs | task implementation | full HEAD blob; deletion patch, live refs, owners/manifests checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep deletion
121 | D | codex-rs/core/src/tools/handlers/source_closure.rs | task implementation | full HEAD blob; deletion patch, live refs, owners/manifests checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep deletion
122 | D | codex-rs/core/src/tools/handlers/source_spec.rs | task implementation | full HEAD blob; deletion patch, live refs, owners/manifests checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep deletion
123 | D | codex-rs/core/src/tools/handlers/source_spec_tests.rs | related support/contract | full HEAD blob; deletion patch, live refs, owners/manifests checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep deletion
124 | D | codex-rs/core/src/tools/handlers/source_tests.rs | related support/contract | full HEAD blob; deletion patch, live refs, owners/manifests checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep deletion
125 | M | codex-rs/core/src/tools/handlers/unified_exec/exec_command.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
126 | M | codex-rs/core/src/tools/handlers/unified_exec/write_stdin.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
127 | M | codex-rs/core/src/tools/handlers/unified_exec_tests.rs | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
128 | M | codex-rs/core/src/tools/known_delta_store.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
129 | M | codex-rs/core/src/tools/parallel.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | A13-A14: collapsible wait guard and unused test helper repaired | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
130 | M | codex-rs/core/src/tools/registry.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
131 | M | codex-rs/core/src/tools/registry_tests.rs | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
132 | M | codex-rs/core/src/tools/router.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
133 | M | codex-rs/core/src/tools/router_tests.rs | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
134 | M | codex-rs/core/src/tools/runtimes/apply_patch.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
135 | M | codex-rs/core/src/tools/runtimes/apply_patch_tests.rs | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
136 | M | codex-rs/core/src/tools/spec_plan.rs | task implementation | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
137 | M | codex-rs/core/src/tools/spec_plan_tests.rs | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
138 | M | codex-rs/core/src/tools/tools_tests.rs | related support/contract | full current bytes; patch, behavior, callers and wiring checked | none | none remaining | none | none supported | none | none | covered by scoped validation/publish proof | keep
